RESIDENTIAL MANAGEMENT MASTER LIST - RM ONLY,,,,,,,,,,
"March 4, 2026",,,,,,,,,,
PROJECT,FILE#,Unit #,ST. #,STREET,CITY,PM,ACCT,INS,NON-RESIDENT,
6,0653-01,1006,8238,LORD STREET,VAN,KH,Leuvin ,YES,,
6,0655-01,1105,8189,CAMBIE STREET,VAN,KH,Leuvin ,YES,,
6,0660-01,420,1330,BURRARD STREET,VAN,JR,Leuvin ,NO,,
6,0661-01,306,8189,CAMBIE STREET,VAN,KH,Leuvin ,YES,,
6,0662-01,1004,8189,CAMBIE STREET,VAN,KH,Leuvin ,YES,NO,
6,0666-01,2306,8189,CAMBIE STREET,VAN,JR,Leuvin ,NO,,
6,0668-01,2206,5470,ORMINDALE STREET,VAN,JR,Leuvin ,YES,,
6,0670-01,223,738,EAST 29TH AVE,VAN,JR,Leuvin ,NO,,
6,0671-01,1006,8189,CAMBIE STREET,VAN,KH,Leuvin ,NO,,
6,0672-01,408,523,WEST KING EDWARD AVENUE ,VAN,KH,Leuvin ,YES,,
6,0673-01,501,1688,PULLMAN PORTER STREET,VAN,JR,Leuvin ,YES,,
6,0674-01,904,950,DRAKE STREET,VAN,JR,Leuvin ,YES,,
6,0676-01,HOUSE,7676,ONTARIO STREET,VAN,KH,Leuvin ,N/A,NO,
6,0678-01,313,1330,BURRARD STREET,VAN,JR,Leuvin ,?,,
6,0679-01,412,1330,BURRARD STREET,VAN,JR,Leuvin ,?,,
6,0682-01,2803,8189,CAMBIE STREET,VAN,KH,Leuvin ,YES,,
6,0684-01,223,1777,WEST 7TH AVENUE,VAN,KH,Leuvin ,YES,,
6,0685-01,303,2036,WEST 10TH AVENUE,VAN,KH,Leuvin ,YES,,
6,0687-01,502,983,EAST HASTINGS,VAN,AN,Leuvin ,NO,,
6,0688-01,2403,183,KEEFER PLACE,VAN,KH,Leuvin ,NO,,
6,0689-01,203,8238,LORD STREET,VAN,KH,Leuvin ,YES,,
6,0692-01,306,1777,WEST 7TH AVENUE,VAN,KH,Leuvin ,NO,,
6,0694-01,205,1530,West 8TH AVENUE,VAN,KH,Leuvin ,YES ,,
6,0695-01,2005,8189,CAMBIE STREET,VAN,KH,Leuvin ,YES,,
6,0699-01,316,3289,RIVERWALK AVENUE,VAN,JR,Leuvin ,YES,,
11,1101-01,HOUSE,1386,EAST 15TH STREET,NVAN,AN,Princes,N/A,,
11,1104-01,HOUSE,1495,MATHERS AVENUE,WVAN,AN,Princes,N/A,,
11,1105-01,1106,111,EAST 13TH STREET,NVAN,AN,Princes,YES,,
11,1107-01,801,125,EAST 14TH STREET,NVAN,AN,Princes,YES,,
11,1110-01,309,125,EAST 14TH STREET,NVAN,AN,Princes,YES,,
11,1116-01,1110,125,EAST 14TH STREET,NVAN,AN,Princes,NO,,
11,1117-01,502,125,EAST 14TH STREET,NVAN,AN,Princes,YES,,
11,1122-01,23,288,ST. DAVID'S AVENUE,NVAN,AN,Princes,NO,,
11,1125-01,310,4323,GALLANT AVENUE,NVAN,AN,Princes,YES,YES,
11,1127-01,104,1320,CHESTERFIELD AVE,NVAN,AN,Princes,NO,NO,
11,1128-01,312,4078,KNIGHT STREET,VAN,JR,Princes,NO,NO,
11,1130-01,1103,112,EAST 13TH STREET,NVAN,AN,Princes,NO,NO,
11,1132-01,803,188,EAST ESPLANADE,NVAN,AN,Princes,YES,,
11,1133-01,413,1111,LYNN VALLEY ROAD,NVAN,AN,Princes,YES,,
11,1134-01,TH,3381,WILLIAM AVENUE,NVAN,AN,Princes,YES,NO,
11,1135-01,10,3130,ST JOHNS STREET,PMDY,AA,Princes,NO,NO,
11,1140-01,807,168,EAST ESPLANADE,NVAN,AN,Princes,NO,,
11,1141-01,1003,135,EAST 17TH STREET,NVAN,AN,Princes,Y,,
11,1142-01,305,1182,WEST 16th AVENUE,NVAN,AN,Princes,YES,,
11,1143-01,1608,188,EAST ESPLANADE,NVAN,AN,Princes,NO,,
11,1146-01,501,988,KEITH ROAD,WVAN,AN,Princes,NO,,
11,1150-01,208,1182,WEST 16th AVENUE,NVAN,AN,Princes,NO,,
11,1151-01,203,1871,MARINE DRIVE,WVAN,AN,Princes,YES,,
11,1152-01,1106,135,EAST 17TH STREET,NVAN,AN,Princes,NO,,
11,1154-01,401,175,WEST 1ST STREET,NVAN,AN,Princes,NO,,
11,1157-01,HOUSE,1838,MAHON AVE ,NVAN,AN,Princes,N/A,,
