PROJ #,PROJECT NAME,"STRATA 
PLAN",PM
5306,"LOCAL ON LONSDALE
TH - 1621, 1623, 1625, 1629, 1631, 1633, 
1635, 1637, 1639, 1641 Eastern Avenue
Residential Tower - 135 East 17th Street
North Vancouver, BC 
V7L 0C4
",EPS1614,SB
"5308
5308-T (Townhomes)
","THE MARK 
1372 Seymour Street
Vancouver, BC
V6B 0L1

Townhomes: 555 & 565 Pacific St. / 1378, 1382, 1386, 1390 & 1394 Seymour St.",EPS1231,YM
5312,"THE VICTORIA (JOINT)
751 & 789 Helmcken V6B 5R1",LMS1608,"CKS/KN  
(KaWing is PM)
(AW is Admin)"
5314,"258 CONDOS
258 6th Street
New Westminster, BC 
V3L 0G6",EPS1877,HB
5315,"CAMBIE + 7
538 West 7th Avenue
Vancouver, BC
V5Z 1B3

TH1 = 546, TH2 = 542, TH3 = 540, TH5 = 536, TH6 = 532, TH7 = 530 West 7th Avenue",EPS1923,SA
5321,"LA CASITA
5783 Balsam Street
Vancouver, BC V6M 4B8",VAS2864,CS
5322,"JACOBSEN
256 East 2nd Avenue
Vancouver, BC V5T 0A7

248, 250, 252, 254, 260, 262, 264, 266, 268, 270, 272, 274, 276, 278 & 280 East 2nd Ave.
Vancouver, BC V5T 1B7",BCS3638,KN
"5323
5323-1 (Tower 1, 9288 Odlin)
5323-2A (Tower 2A, 9299 Tomicki)
5323-2B (Tower 2B, 9199 Tomicki)
","MERIDIAN GATE
9288 Odlin Road (Tower 1)
9199 Tomicki Avenue (Tower 2B)
9299 Tomicki Avenue (Tower 2A)
Richmond, BC",BCS3325,YM
"5324
5324-1 (Tower 1, 8600 Park)
5324-2 (Tower 2, 6828 Eckersley)
5324-3 (Tower 3, 6800 Eckersley)
","SAFFRON
6800 Eckersley Road, V6Y 0E7 (Tower 3)
6828 Eckersley Road, V6Y 0E8 (Tower 2)
8600 Park Road, V6Y 0C3 (Tower 1)
Richmond, BC",BCS4130,JL
"5325
5325-1 (Tower 1, 9500 Odlin)
5325-2 (Tower 2, 9399 Tomicki)
","CAMBRIDGE PARK
9500 Odlin Road V6X 0H5 (Tower 1)
9399 Tomicki Avenue V6X 0H6 (Tower 2)
Richmond, BC",BCS4008,SY
5326,"THE BRITTANY (APARTMENTS)
3292 East 54th Avenue
Vancouver, BC V5S 0A1",BCS1545,SC
5327,"THE AUSTIN (JOINT)
958 Ridgeway Avenue V3K 0C5
955 Austin Avenue V3K 3N9
Coquitlam, BC",EPS2243,YM
5328,"THE AUSTIN (RESIDENTIAL)
958 Ridgeway Avenue V3K 0C5
955 Austin Avenue V3K 3N9
Coquitlam, BC",EPS2243,YM
5335,"LATITUDE
3485 Victoria Drive
Vancouver, BC",EPS1252,"MC
(Admin Pool is Admin)"
5336,"KENSINGTON AT WILLOUGHBY TOWN CENTRE (JOINT)
20728 Willoughby Town Centre Drive
Langley, BC
V2Y 0P3",EPS2365,BL
5337,"KENSINGTON AT WILLOUGHBY TOWN CENTRE (RESIDENTIAL)
20728 Willoughby Town Centre Drive
Langley, BC
V2Y 0P3",EPS2365,BL
"5339
5339T (Tomicki, Tower 1)
5339O (Odlin, Tower 2)
","OMEGA
9333 Tomicki Avenue (Tower 1)
V6X 0L4
9388 Odlin Road (Tower 2)
Richmond, BC
V6X 0L5",EPS2415,JL
5344,"LE SOLEIL - HOTEL
567 Hornby Street
Vancouver, BC
V6C 3E8",LMS3837,"CKS/KN  
(KaWing is PM)
(AW is Admin)"
5345,"LE SOLEIL -COMMERCIAL  SECTION
567 Hornby Street
Vancouver, BC
V6C 3E8",LMS3837,"CKS/KN  
(KaWing is PM)
(AW is Admin)"
5350,"SKALA
453 & 455 East 16th Avenue
Vancouver, B.C.",EPS2573,"MC
(Admin Pool is Admin)"
5353,"THE MET
6588 Nelson Avenue
6598, 6590, 6578, 6570, 6568, 6560 Nelson Avenue
6569, 6579, 6585, 6595, 6599 Dunblane Avenue
Burnaby, BC
V5H 0E8
",EPS2809,RY
"5358
5358-A (7088 14th Ave., Bldg. A)
5358-B (7058 14th Ave., Bldg. B)
","REDBRICK
Building A - 7088 14th Avenue
Burnaby, B.C. V3N 0E7
Building B - 7058 14th Avenue
Burnaby, B.C. V3N 0E6
",EPS2933,CCS
5362,"1277 Nelson Street
Vancouver, BC
V6E 4M8",LMS1755,SY
5363,"HAMPTON COURT
1765 Marine Drive
West Vancouver, B.C.
V7V 1J5",LMS1435,BK
5365,"RIVA

5365-1 - 5399 Cedarbridge Way, Richmond V6X 0L6
5365-2 ? 5311 Cedarbridge Way, Richmond V6X 0M3
",EPS2420,"CKS/KN  
(KaWing)
(AW is Admin)"
5367,"STRATUS AT SOLO DISTRICT
2008 Rosser Avenue
Burnaby, BC 
V5C 0H8
",EPS1911,SB
5368,"ONE UNIVERSITY CRESCENT
5368-1: 9300 University Crescent
5368-2: 9310 University Crescent
5368-3: 9320 University Crescent
5368-4: 9330 University Crescent
5368-5: 9370 University Crescent
5368-6: 9380 University Crescent
5368-7: 9390 University Crescent
Burnaby, B.C. 
",BCS1345,GR
"5369
5369-A: 508 West 29th Avenue
5369-B: 505 West 30th Avenue
5369-C: 4539 Cambie Street","EMPIRE
 511 West 30th Ave
512 West 29th Ave
4525-4559 Cambie Street
5369-A: 508 West 29th Avenue
5369-B: 505 West 30th Avenue
5369-C: 4539 Cambie Street
Vancouver, BC",EPS3127,BL
"5370
5370-1 (Phase 1)
5370-2 (Phase 2)
","THE LOOKOUT
Phase 1 ? 20 East Royal Avenue
Phase 2 ? 22 East Royal Avenue
New Westminster, B.C. 

",EPS3217,KD
5374,"AVANT
2903 ? 2997 Wall Street
Vancouver, B.C.
V5K 0A6
",BCS4321,KD
5375,"WESTWOOD
1123 Westwood Street V3B 0M1
3080 Lincoln Avenue V3B 0L9
TH - 3086 Lincoln Avenue
Coquitlam, B.C. 
V3B 0L9",EPS3436,FY
"5377
5377-1
5377-2","ONE PACIFIC 
5377-1: 68 Smithe Street
Vancouver, B.C. 
V6B 0P4 

5377-2: 38 Smithe Street
Vancouver, B.C. 
V6B 0P3",EPS3602,GR
"5379
5379-1
5379-2
5379-TH","CHARTWELL MEWS
Tower 1 - 8740 Citation Drive
Tower 2 - 8870 Citation Drive
Richmond, BC
V6Y 3AE

Townhomes:
8700, 8710, 8720, 8730, 8750, 8760, 8770, 8780, 8790, 8800, 8810, 8820, 8830, 8840, 8850, 8860 Citation Drive
Richmond, BC",NW1321,KZ
"5380
5380-A: Building A
5380-BC: Building B/C","BLOCK 100
Building A - 111 East 1st Avenue, V6A 0E9
Building B/C - 161 East 1st Avenue, V6A 0G1
Vancouver, BC

Building A TH
101, 103, 105 East 1st Avenue, V6A 0E8
1670, 1680, 1690, 1696 Quebec Street, V6A 3L6
Vancouver, BC

Building B & C TH
121, 123, 125, 127, 129, 131, 141, 143, 145, 147, 149 East 1st Avenue, V6A 0E8
Vancouver, BC",EPS3495,YM
5381,"ONE PACIFIC COMMERCIAL
30, 50, 60, 68 Smithe Street
959, 963 Pacific Blvd
Vancouver, BC",,"CKS/CS
(Christie)"
5383,RIVA CLUB,,"CKS/KN  
(KaWing)
(AW is Admin)"
"5385
(EXPAND ROW FOR COMPLETE LIST OF PROJECT NOs.)
5385-1A SL1-5 5108 Claude
5385-1B SL6-13 5028 Savile Row
5385-1C SL14-21 5048 Savile Row
5385-2A 5068 Savile Row
5385-2B 5088 Savile Row
5385-3A 5122 Canada Way
5385-3B 5128 Canada Way
5385-3C 5118 Savile Row
5385-4A 5208 Savile Row
5385-4B 5202 Savile Row
5385-5A 5132 Canada Way
5385-5B 5138 Canada Way
5385-5C 5148 Savile Row
5385-5D 5158 Savile Row
5385-5E 5168 Savile Row
5385-6A 5152 Canada Way
5385-6B 5178  Savile Row
5385-6C 5142 Canada Way
5385-6D 5188 Savile Row
5385-6E 5160 Canada Way
5385-7A 5228 Savile Row
5385-7B 5218 Savile Row
5385-8A 5058 Savile Row
5385-8B 5038 Savile Row
","SAVILE ROW
5108 Claude Avenue V5E 0C1
5028, 5038, 5048, 5058, 5068, 5078, 5088, 5118, 5148, 5158, 5168, 5178, 5188, 5202, 5208, 5218, 5228 Savile Row
5122, 5128, 5132, 5138, 5142, 5152, 5160 Canada Way
Burnaby, BC

",EPS3492,SC
5386,"PARK AVENUE
13750 100th Avenue
Surrey, BC V3T 0L3",EPS3859,GR
5387,"CONCORD GARDENS ARTS UNITS
West Tower
8833 Hazelbridge Way
Richmond, BC V6X 0N3

North Tower
3131 Ketcheson Road
Richmond, BC V6S 0N4",EPS3767,"MR/CKS
(Katy L is Admin)"
"5388
5388-1
5388-2
5388-3
5388-TH (SL1-18 + 234)","CARRERA
Phase 1 (Building A) - 7338 Gollner Avenue V6Y 0H8
Phase 2 (Building B) - 7368 Gollner Avenue V6Y 0H9
Phase 3 (Building C) - 7328 Gollner Avenue V6Y 0H7
Richmond, BC
",EPS2876,"CF
(BN is Admin)"
"5389
(5164-10)","PINTURA APARTMENTS
1530 West 8th Avenue
Vancouver, BC
V6J 5M6",BCS1362,"CF
"
"5390
(5164-10)","PINTURA TOWNHOMES
1532, 1536, 1538, 1556, 1558, 1566, 1568, 1576, 1578, and 1580 W. 8th Ave.
Vancouver, BC
V6J 4R8
",BCS1362,CF
5392,"MIDTOWN (JOINT)
2477 Carolina Street
583, 585, 595 & 599 E. Broadway
Vancouver, BC V5T 1X4
",EPS3643,CF
5393,"MIDTOWN (RESIDENTIAL)
2477 Carolina Street
Vancouver, BC V5T 1X4",EPS3643,CF
5394,"MIDTOWN (COMMERCIAL)
583, 585, 595 & 599 E. Broadway
Vancouver, BC V5T 1X4
",EPS3643,CF
